match_id,match_time,team_1,team_2,ms_1,ms_x,ms_2,fh_1,fh_x,fh_2,p1_1,p1_x,p1_2,p2_1,p2_x,p2_2,p3_1,p3_x,p3_2,p4_1,p4_x,p4_2
1664301,02:30,Minnesota (K),LA Sparks (K),-,,7.25,-,13.00,5.14,1.18,13.00,3.48,1.19,13.00,3.35,1.30,13.00,2.77,1.40,13.00,2.45
1664383,02:30,Was Mystics (K),Chicago Sky (K),1.70,,1.64,1.77,13.00,1.73,1.79,13.00,1.76,1.79,13.00,1.76,1.79,13.00,1.76,1.79,13.00,1.76
1695511,03:00,Regatas Corrientes,Instituto de Cordoba,1.61,,1.73,1.71,13.00,1.79,1.74,13.00,1.80,1.75,13.00,1.80,1.75,13.00,1.80,1.76,13.00,1.80
1695650,03:10,CA Platense,Ciclista Olimpico,1.87,,1.51,1.88,13.00,1.63,1.87,13.00,1.69,1.87,13.00,1.70,1.87,13.00,1.70,1.85,13.00,1.72
1664360,03:30,Dallas,Boston,1.61,,1.73,1.69,13.00,1.79,1.73,13.00,1.80,1.74,13.00,1.79,1.74,13.00,1.79,1.75,13.00,1.79
1665523,07:00,Canterbury,Manawatu,-,,11.65,1.72,1.62,,1.65,1.69,,,,,,,,,,
1665809,10:30,BAY Hawks,Nelson Giants,1.61,,1.73,1.70,1.64,,1.62,1.72,,,,,,,,,,
