match_id,match_time,team_1,team_2,ms_1,ms_x,ms_2,fh_1,fh_x,fh_2,p1_1,p1_x,p1_2,p2_1,p2_x,p2_2,p3_1,p3_x,p3_2,p4_1,p4_x,p4_2
1663434,02:00,Indiana (K),Atlanta (K),2.01,,1.42,1.97,13.00,1.56,1.92,13.00,1.64,1.91,13.00,1.65,1.91,13.00,1.65,1.88,13.00,1.67
1663486,02:00,Dallas Wings (K),Seattle (K),3.31,,1.12,2.64,13.00,1.29,2.32,13.00,1.42,2.29,13.00,1.44,2.28,13.00,1.44,2.18,13.00,1.49
1664318,03:00,Osos de Manati,Piratas de Quebradillas,1.48,,1.91,1.60,1.74,,1.68,1.66,,,,,,,,,,
1664354,03:00,Vaqueros de Bayamon,Cangrejeros de Santurce,1.59,,1.76,1.68,1.66,,1.65,1.68,,,,,,,,,,
1695649,03:00,Penarol Mar,Quimsa Santi,2.50,,1.25,2.26,13.00,1.42,2.10,13.00,1.54,2.09,13.00,1.54,2.08,13.00,1.54,2.02,13.00,1.58
1695770,03:05,CA San Lorenzo De Almagro,Boca Juniors,2.02,,1.42,1.99,13.00,1.56,1.93,13.00,1.65,1.93,13.00,1.65,1.93,13.00,1.65,1.90,13.00,1.67
1664362,05:00,Phoenix (K),Las Vegas A (K),2.84,,1.18,2.43,13.00,1.36,2.20,13.00,1.48,2.17,13.00,1.50,2.17,13.00,1.50,2.08,13.00,1.54
1664330,10:30,Southland,Taranaki,17.35,,-,1.67,1.67,,1.63,1.71,,,,,,,,,,
1695483,14:30,San Miguel,Meralco,1.27,,2.46,1.39,13.00,2.35,1.47,13.00,2.22,1.54,13.00,2.11,1.53,13.00,2.11,1.65,13.00,1.93
1698002,19:00,Alba Berlin,Bayern Münih,2.15,,1.36,2.06,13.00,1.52,1.99,13.00,1.60,1.98,13.00,1.61,1.98,13.00,1.61,1.93,13.00,1.65
1700304,21:15,Panathinaikos,Olympiakos,1.19,,2.81,1.36,13.00,2.43,1.48,13.00,2.21,1.49,13.00,2.19,1.50,13.00,2.18,1.55,13.00,2.09
